KodeNegara,Year,GDP,Growth
MLT,2021,27066000000.0,0.125
MLT,2022,31311000000.0,0.081
MLT,2023,34274000000.0,0.0559999999999999
MLT,2024,36870000000.0,0.05
MNE,2020,11968000000.0,-0.153
MNE,2021,14150000000.0,0.13
MNE,2022,16116000000.0,0.064
MNE,2023,17706000000.0,0.06
MNE,2024,18812000000.0,0.037
MNG,2020,40503000000.0,-0.046
MNG,2021,43053000000.0,0.016
MNG,2022,48403000000.0,0.05
MNG,2023,53691000000.0,0.07
MNG,2024,58580000000.0,0.065
MOZ,2020,40674000000.0,-0.012
MOZ,2021,43550000000.0,0.024
MOZ,2022,48649000000.0,0.044
MOZ,2023,53454000000.0,0.06
MOZ,2024,57466000000.0,0.05
MRT,2020,24808000000.0,-0.004
MRT,2021,26137000000.0,0.0069999999999999
MRT,2022,29758000000.0,0.064
MRT,2023,32326000000.0,0.048
MRT,2024,34779000000.0,0.051
MUS,2020,26992000000.0,-0.145
MUS,2021,29191000000.0,0.034
MUS,2022,34021000000.0,0.089
MUS,2023,37683000000.0,0.069
MUS,2024,40468000000.0,0.049
MWI,2020,30451000000.0,0.009
MWI,2021,33302000000.0,0.046
MWI,2022,35932000000.0,0.008
MWI,2023,37837000000.0,0.016
MWI,2024,40029000000.0,0.033
NAM,2020,23717000000.0,-0.081
NAM,2021,25679000000.0,0.035
NAM,2022,28740000000.0,0.046
NAM,2023,30727000000.0,0.032
NAM,2024,32302000000.0,0.026
NER,2020,31145000000.0,0.035
NER,2021,33028000000.0,0.0139999999999999
NER,2022,39562000000.0,0.119
NER,2023,41582000000.0,0.0139999999999999
NER,2024,47024000000.0,0.104
NGA,2020,1068072000000.0,-0.018
NGA,2021,1157784000000.0,0.036
NGA,2022,1279599000000.0,0.033
NGA,2023,1364175000000.0,0.0289999999999999
NGA,2024,1443708000000.0,0.033
NPL,2020,116345000000.0,-0.024
NPL,2021,127566000000.0,0.048
NPL,2022,144213000000.0,0.0559999999999999
NPL,2023,150713000000.0,0.008
NPL,2024,159139000000.0,0.031
NZL,2020,218544000000.0,-0.0139999999999999
NZL,2021,241426000000.0,0.0559999999999999
NZL,2022,264586000000.0,0.024
NZL,2023,275967000000.0,0.006
NZL,2024,285582000000.0,0.01
PAK,2020,1208832000000.0,-0.009
PAK,2021,1337211000000.0,0.0579999999999999
PAK,2022,1519657000000.0,0.062
PAK,2023,1572439000000.0,-0.002
PAK,2024,1642572000000.0,0.02
PAN,2020,120406000000.0,-0.177
PAN,2021,145869000000.0,0.158
PAN,2022,173017000000.0,0.108
PAN,2023,192444000000.0,0.073
PAN,2024,202013000000.0,0.025
PER,2020,401496000000.0,-0.109
PER,2021,476245000000.0,0.134
PER,2022,523458000000.0,0.027
PER,2023,539545000000.0,-0.006
PER,2024,566582000000.0,0.025
PHL,2020,919019000000.0,-0.095
PHL,2021,1016084000000.0,0.057
PHL,2022,1169961000000.0,0.076
PHL,2023,1280127000000.0,0.0559999999999999
PHL,2024,1391800000000.0,0.062
PLW,2020,268000000.00000003,-0.07
PLW,2021,243000000.0,-0.134
PLW,2022,255000000.0,-0.02
PLW,2023,267000000.00000003,0.008
PLW,2024,307000000.0,0.124
PNG,2020,33291000000.0,-0.032
PNG,2021,34546000000.0,-0.008
PNG,2022,38888000000.0,0.052
PNG,2023,41386000000.0,0.027
PNG,2024,44300000000.0,0.045
POL,2020,1304004000000.0,-0.02
POL,2021,1458372000000.0,0.069
POL,2022,1643169000000.0,0.053
POL,2023,1705796000000.0,0.002
POL,2024,1800540000000.0,0.031
QAT,2020,258950000000.0,-0.036
QAT,2021,275230000000.0,0.016
QAT,2022,306981000000.0,0.042
QAT,2023,323128000000.0,0.016
QAT,2024,337521000000.0,0.02
ROU,2020,593284000000.0,-0.037
ROU,2021,655909000000.0,0.057
ROU,2022,734353000000.0,0.046
ROU,2023,777184000000.0,0.021
ROU,2024,817986000000.0,0.0279999999999999
RWA,2020,28630000000.0,-0.034
RWA,2021,33200000000.000004,0.109
RWA,2022,38437000000.0,0.0819999999999999
RWA,2023,42606000000.0,0.069
RWA,2024,46658000000.0,0.069
SAU,2020,1723643000000.0,-0.036
SAU,2021,1894161000000.0,0.051
SAU,2022,2179304000000.0,0.075
SAU,2023,2241692000000.0,-0.008
SAU,2024,2354392000000.0,0.026
SDN,2020,185652000000.0,-0.036
SDN,2021,195135000000.0,0.005
SDN,2022,203653000000.0,-0.025
SDN,2023,172449000000.0,-0.183
SDN,2024,169189000000.0,-0.042
SEN,2020,58621000000.0,0.013
SEN,2021,65318000000.0,0.065
SEN,2022,72713000000.0,0.04
SEN,2023,78455000000.0,0.0409999999999999
SEN,2024,86978000000.0,0.083
SGP,2020,568596000000.0,
SGP,2021,652294000000.0,
SGP,2022,725019000000.0,
SGP,2023,759525000000.0,
SGP,2024,794179000000.0,
SOM,2020,25384000000.0,-0.026
SOM,2021,27426000000.0,0.033
SOM,2022,30072000000.0,0.024
SOM,2023,32040000000.0,0.0279999999999999
SOM,2024,34027000000.0,0.037
STP,2020,808000000.0,0.026
STP,2021,861000000.0,0.019
STP,2022,922000000.0,0.001
STP,2023,953000000.0,-0.003
STP,2024,1005000000.0,0.0289999999999999
SUR,2020,9806000000.0,-0.16
SUR,2021,10006000000.0,-0.024
SUR,2022,10972000000.0,0.024
SUR,2023,11616000000.0,0.021
SUR,2024,12248000000.0,0.03
SVN,2020,82689000000.0,-0.042
SVN,2021,93596000000.0,0.0819999999999999
SVN,2022,102651000000.0,0.025
SVN,2023,108081000000.0,0.016
SVN,2024,112913000000.0,0.02
SWE,2020,568583000000.0,-0.022
SWE,2021,631206000000.0,0.061
SWE,2022,693642000000.0,0.027
SWE,2023,717516000000.0,-0.002
SWE,2024,736398000000.0,0.002
SWZ,2020,10315000000.0,-0.016
SWZ,2021,11940000000.0,0.107
SWZ,2022,12842000000.0,0.005
SWZ,2023,13993000000.0,0.051
SWZ,2024,14861000000.0,0.037
SYC,2020,2955000000.0,-0.1169999999999999
SYC,2021,3108000000.0,0.006
SYC,2022,3825000000.0,0.15
SYC,2023,4110000000.000001,0.037
SYC,2024,4345000000.0,0.032
SYR,2020,0.0,0.0
SYR,2021,0.0,0.0
SYR,2022,0.0,0.0
SYR,2023,0.0,0.0
SYR,2024,0.0,0.0
TGO,2020,18281000000.0,0.02
TGO,2021,20265000000.0,0.06
TGO,2022,22952000000.0,0.0579999999999999
TGO,2023,25074000000.0,0.054
TGO,2024,27039000000.0,0.053
THA,2020,1270575000000.0,-0.061
